Дата,Регион,Значение
2020-05-01,Ярославская область,46.95983922
2020-06-01,Россия,36.69753154
2020-06-01,Адыгея,43.98071014
2020-06-01,Алтай,41.05713951
2020-06-01,Алтайский край,39.75750506
2020-06-01,Амурская область,40.06760648
2020-06-01,Архангельская область,44.89467014
2020-06-01,Астраханская область,47.74272169
2020-06-01,Белгородская область,40.59376392
2020-06-01,Брянская область,54.08486721
2020-06-01,Владимирская область,50.93171122
2020-06-01,Волгоградская область,45.78057379
2020-06-01,Вологодская область,48.66301739
2020-06-01,Воронежская область,44.14462699
2020-06-01,Еврейская автономная область,62.63166884
2020-06-01,Забайкальский край,43.74913715
2020-06-01,Ивановская область,47.44178081
2020-06-01,Иркутская область,43.76341133
2020-06-01,Кабардино-Балкарская Республика,54.10138356
2020-06-01,Калининградская область,42.72173425
2020-06-01,Калужская область,42.99002291
2020-06-01,Камчатский край,55.4713961
2020-06-01,Кемеровская область,50.64118455
2020-06-01,Кировская область,44.42936061
2020-06-01,Костромская область,40.61089732
2020-06-01,Краснодарский край,34.80994096
2020-06-01,Красноярский край,48.03968027
2020-06-01,Курганская область,48.44652564
2020-06-01,Курская область,48.16516541
2020-06-01,Ленинградская область,33.74827828
2020-06-01,Липецкая область,47.20131647
2020-06-01,Магаданская область,76.21443304
2020-06-01,Мордовия,50.55287862
2020-06-01,Москва,22.57996916
2020-06-01,Московская область,31.33076922
2020-06-01,Мурманская область,65.73800969
2020-06-01,Нижегородская область,36.27339809
2020-06-01,Новгородская область,48.331615
2020-06-01,Новосибирская область,34.95711844
2020-06-01,Омская область,44.58819062
2020-06-01,Оренбургская область,50.89323189
2020-06-01,Орловская область,47.63075995
2020-06-01,Пензенская область,43.30303779
2020-06-01,Пермский край,40.33512993
2020-06-01,Приморский край,32.99405749
2020-06-01,Псковская область,49.62666798
2020-06-01,Республика Башкортостан,39.37395304
2020-06-01,Республика Бурятия,45.3943527
2020-06-01,Республика Дагестан,59.85465408
2020-06-01,Республика Ингушетия,78.22801513
2020-06-01,Республика Калмыкия,56.45184105
2020-06-01,Республика Карачаево-Черкессия,39.95482907
2020-06-01,Республика Карелия,47.70759977
2020-06-01,Республика Коми,53.40616587
2020-06-01,Республика Марий Эл,47.32776439
2020-06-01,Республика Саха (Якутия),41.53833191
2020-06-01,Республика Северная Осетия-Алания,60.7536129
2020-06-01,Республика Татарстан,32.86793271
2020-06-01,Республика Тыва,32.72993641
2020-06-01,Республика Хакасия,50.46969281
2020-06-01,Ростовская область,41.43284694
2020-06-01,Рязанская область,47.31510832
2020-06-01,Самарская область,43.54359553
2020-06-01,Санкт-Петербург,27.52774755
2020-06-01,Саратовская область,52.4030662
2020-06-01,Сахалинская область,35.83795723
2020-06-01,Свердловская область,37.65710551
2020-06-01,Смоленская область,51.02357215
2020-06-01,Ставропольский край,45.68330932
2020-06-01,Тамбовская область,46.09342043
2020-06-01,Тверская область,45.1329106
2020-06-01,Томская область,41.98892343
2020-06-01,Тульская область,41.81686749
2020-06-01,Тюменская область,39.34581882
2020-06-01,Удмуртская Республика,40.72386597
2020-06-01,Ульяновская область,47.59674777
2020-06-01,Хабаровский край,40.83685818
2020-06-01,Челябинская область,50.8555168
2020-06-01,Чеченская Республика,63.54584073
2020-06-01,Чувашская Республика,45.62421304
2020-06-01,Чукотский АО,50.27048642
2020-06-01,Ярославская область,46.83024999
2020-07-01,Россия,36.80988113
2020-07-01,Адыгея,46.74121675
2020-07-01,Алтай,40.87843613
2020-07-01,Алтайский край,40.43677468
2020-07-01,Амурская область,41.31587128
2020-07-01,Архангельская область,45.22229506
2020-07-01,Астраханская область,48.5545388
2020-07-01,Белгородская область,40.5842822
2020-07-01,Брянская область,53.71523881
2020-07-01,Владимирская область,52.26464009
2020-07-01,Волгоградская область,46.27265876
2020-07-01,Вологодская область,48.24252875
2020-07-01,Воронежская область,45.22101663
2020-07-01,Еврейская автономная область,61.98639512
2020-07-01,Забайкальский край,40.984916
2020-07-01,Ивановская область,48.40541211
2020-07-01,Иркутская область,44.03533248
2020-07-01,Кабардино-Балкарская Республика,52.20545321
2020-07-01,Калининградская область,42.29322445
2020-07-01,Калужская область,44.47899768
2020-07-01,Камчатский край,57.8299689
2020-07-01,Кемеровская область,51.34429212
2020-07-01,Кировская область,45.152662
2020-07-01,Костромская область,39.7368329
2020-07-01,Краснодарский край,35.30999061
2020-07-01,Красноярский край,47.64738743
2020-07-01,Курганская область,48.85541469
2020-07-01,Курская область,47.44867308
2020-07-01,Ленинградская область,33.50208138
2020-07-01,Липецкая область,48.70236483
2020-07-01,Магаданская область,80.91494053
2020-07-01,Мордовия,50.42569798
2020-07-01,Москва,23.05529268
2020-07-01,Московская область,32.39374326
2020-07-01,Мурманская область,67.83393555
2020-07-01,Нижегородская область,36.10616983
2020-07-01,Новгородская область,49.09588753
2020-07-01,Новосибирская область,35.98352804
2020-07-01,Омская область,45.85031128
2020-07-01,Оренбургская область,50.45989022
2020-07-01,Орловская область,47.9381339
2020-07-01,Пензенская область,44.72176101
2020-07-01,Пермский край,40.85630886
2020-07-01,Приморский край,31.55954137
2020-07-01,Псковская область,51.23552598
2020-07-01,Республика Башкортостан,39.88229526
2020-07-01,Республика Бурятия,44.22072959
2020-07-01,Республика Дагестан,53.76789902
2020-07-01,Республика Ингушетия,70.63654546
2020-07-01,Республика Калмыкия,58.81654054
2020-07-01,Республика Карачаево-Черкессия,45.64693157
2020-07-01,Республика Карелия,47.51666894
2020-07-01,Республика Коми,54.62880806
2020-07-01,Республика Марий Эл,50.01414758
2020-07-01,Республика Саха (Якутия),42.85013777
2020-07-01,Республика Северная Осетия-Алания,55.55885484
2020-07-01,Республика Татарстан,33.6107954
2020-07-01,Республика Тыва,32.21475646
2020-07-01,Республика Хакасия,51.40921231
2020-07-01,Ростовская область,42.53669598
2020-07-01,Рязанская область,48.25932157
2020-07-01,Самарская область,45.02157885
2020-07-01,Санкт-Петербург,28.06590298
2020-07-01,Саратовская область,53.62891502
2020-07-01,Сахалинская область,35.12824067
2020-07-01,Свердловская область,38.19228253
2020-07-01,Смоленская область,52.86171386
2020-07-01,Ставропольский край,46.10332545
2020-07-01,Тамбовская область,44.30877575
2020-07-01,Тверская область,45.04908556
2020-07-01,Томская область,42.47564711
2020-07-01,Тульская область,42.85845728
2020-07-01,Тюменская область,40.04866672
2020-07-01,Удмуртская Республика,41.51494497
2020-07-01,Ульяновская область,49.0474756
2020-07-01,Хабаровский край,41.12733444
2020-07-01,Челябинская область,52.3664274
2020-07-01,Чеченская Республика,66.42118917
2020-07-01,Чувашская Республика,46.16459666
2020-07-01,Чукотский АО,48.37983396
2020-07-01,Ярославская область,47.75203752
2020-08-01,Россия,37.43890572
2020-08-01,Адыгея,43.67604592
2020-08-01,Алтай,41.01900036
2020-08-01,Алтайский край,40.34106313
2020-08-01,Амурская область,41.44470262
2020-08-01,Архангельская область,44.87471511
2020-08-01,Астраханская область,46.05662685
2020-08-01,Белгородская область,41.3721403
2020-08-01,Брянская область,54.49593439
2020-08-01,Владимирская область,54.30165565
2020-08-01,Волгоградская область,46.90355362
2020-08-01,Вологодская область,49.14091843
2020-08-01,Воронежская область,46.09400624
2020-08-01,Еврейская автономная область,62.69233027
2020-08-01,Забайкальский край,40.92360764
2020-08-01,Ивановская область,49.0659155
2020-08-01,Иркутская область,43.90039547
2020-08-01,Кабардино-Балкарская Республика,53.60718613
2020-08-01,Калининградская область,43.3704172
2020-08-01,Калужская область,46.15130458
2020-08-01,Камчатский край,55.31365901
2020-08-01,Кемеровская область,52.18843358
2020-08-01,Кировская область,45.07478061
2020-08-01,Костромская область,40.69169474
2020-08-01,Краснодарский край,35.72016845
2020-08-01,Красноярский край,47.9934019
2020-08-01,Курганская область,49.34815462
2020-08-01,Курская область,49.23429313
2020-08-01,Ленинградская область,35.39294149
2020-08-01,Липецкая область,49.21256641
2020-08-01,Магаданская область,80.34136782
2020-08-01,Мордовия,49.6459864
2020-08-01,Москва,23.67833492
2020-08-01,Московская область,33.48524823
2020-08-01,Мурманская область,69.92231127
2020-08-01,Нижегородская область,36.97711617
2020-08-01,Новгородская область,50.98329884
2020-08-01,Новосибирская область,36.31488104
2020-08-01,Омская область,45.67480135
2020-08-01,Оренбургская область,51.32794312
2020-08-01,Орловская область,47.83674329
2020-08-01,Пензенская область,44.48569768
2020-08-01,Пермский край,42.02085063
2020-08-01,Приморский край,31.67370307
2020-08-01,Псковская область,53.60995809
2020-08-01,Республика Башкортостан,40.69192124
2020-08-01,Республика Бурятия,44.31909153
2020-08-01,Республика Дагестан,51.62708833
2020-08-01,Республика Ингушетия,67.81570084
2020-08-01,Республика Калмыкия,55.24016921
2020-08-01,Республика Карачаево-Черкессия,45.21473593
2020-08-01,Республика Карелия,48.388023
2020-08-01,Республика Коми,53.27881059
2020-08-01,Республика Марий Эл,51.34772092
2020-08-01,Республика Саха (Якутия),40.26921303
2020-08-01,Республика Северная Осетия-Алания,53.13275586
2020-08-01,Республика Татарстан,35.13359015
2020-08-01,Республика Тыва,32.78114825
2020-08-01,Республика Хакасия,52.10643517
2020-08-01,Ростовская область,42.75833951
2020-08-01,Рязанская область,49.00780011
2020-08-01,Самарская область,45.35787385
2020-08-01,Санкт-Петербург,29.35039074
2020-08-01,Саратовская область,54.92075355
2020-08-01,Сахалинская область,34.79919337
2020-08-01,Свердловская область,38.85818804
2020-08-01,Смоленская область,53.58839845
2020-08-01,Ставропольский край,45.7591538
2020-08-01,Тамбовская область,46.80852059
2020-08-01,Тверская область,46.13761594
2020-08-01,Томская область,42.84648043
2020-08-01,Тульская область,43.21384653
2020-08-01,Тюменская область,40.61131002
2020-08-01,Удмуртская Республика,42.54257876
2020-08-01,Ульяновская область,49.02377977
2020-08-01,Хабаровский край,40.64048885
2020-08-01,Челябинская область,52.77625192
2020-08-01,Чеченская Республика,66.59764476
2020-08-01,Чувашская Республика,46.55015112
2020-08-01,Чукотский АО,48.19265476
2020-08-01,Ярославская область,48.46133161
2020-09-01,Россия,37.49276289
2020-09-01,Адыгея,44.26495856
2020-09-01,Алтай,39.5746095
2020-09-01,Алтайский край,40.29025589
2020-09-01,Амурская область,40.76663988
2020-09-01,Архангельская область,44.53017375
2020-09-01,Астраханская область,47.44808711
2020-09-01,Белгородская область,42.83817933
2020-09-01,Брянская область,52.75910217
2020-09-01,Владимирская область,52.07884192
2020-09-01,Волгоградская область,46.32763266
2020-09-01,Вологодская область,49.09298187
2020-09-01,Воронежская область,47.0088165
2020-09-01,Еврейская автономная область,60.18740223
2020-09-01,Забайкальский край,39.59101495
2020-09-01,Ивановская область,50.19544668
2020-09-01,Иркутская область,43.71403357
2020-09-01,Кабардино-Балкарская Республика,52.32458319
2020-09-01,Калининградская область,44.47680537
2020-09-01,Калужская область,45.12758488
2020-09-01,Камчатский край,58.37896064
2020-09-01,Кемеровская область,51.99012458
2020-09-01,Кировская область,45.36130813
2020-09-01,Костромская область,40.07837265
2020-09-01,Краснодарский край,35.55229783
2020-09-01,Красноярский край,47.74995341
2020-09-01,Курганская область,50.5026658
2020-09-01,Курская область,47.97046381
2020-09-01,Ленинградская область,35.44367033
2020-09-01,Липецкая область,49.9786215
2020-09-01,Магаданская область,79.30768883
2020-09-01,Мордовия,50.09029129
2020-09-01,Москва,23.47975323
2020-09-01,Московская область,33.4125217
2020-09-01,Мурманская область,70.38420865
2020-09-01,Нижегородская область,36.90362333
2020-09-01,Новгородская область,50.05497673
2020-09-01,Новосибирская область,36.39279188
2020-09-01,Омская область,45.68363367
2020-09-01,Оренбургская область,50.99636354
2020-09-01,Орловская область,49.9966564
2020-09-01,Пензенская область,44.38135064
2020-09-01,Пермский край,42.28407918
2020-09-01,Приморский край,31.50123953
2020-09-01,Псковская область,53.0927072
2020-09-01,Республика Башкортостан,40.12197858
2020-09-01,Республика Бурятия,43.83486373
2020-09-01,Республика Дагестан,49.32741236
2020-09-01,Республика Ингушетия,72.38983817
2020-09-01,Республика Калмыкия,56.33134527
2020-09-01,Республика Карачаево-Черкессия,48.36847324
2020-09-01,Республика Карелия,47.6611485
2020-09-01,Республика Коми,56.3564368
2020-09-01,Республика Марий Эл,51.75612916
2020-09-01,Республика Саха (Якутия),40.05019054
2020-09-01,Республика Северная Осетия-Алания,54.93896917
2020-09-01,Республика Татарстан,35.00615273
2020-09-01,Республика Тыва,30.36591331
2020-09-01,Республика Хакасия,51.00646867
2020-09-01,Ростовская область,42.40108516
2020-09-01,Рязанская область,48.03211725
2020-09-01,Самарская область,45.49873402
2020-09-01,Санкт-Петербург,28.23255181
2020-09-01,Саратовская область,54.49600641
2020-09-01,Сахалинская область,33.79755904
2020-09-01,Свердловская область,39.7192063
2020-09-01,Смоленская область,52.45621475
2020-09-01,Ставропольский край,45.93906662
2020-09-01,Тамбовская область,45.19230557
2020-09-01,Тверская область,46.17487565
2020-09-01,Томская область,41.83963087
2020-09-01,Тульская область,43.65033169
2020-09-01,Тюменская область,40.78038347
2020-09-01,Удмуртская Республика,42.56901702
2020-09-01,Ульяновская область,48.97361039
2020-09-01,Хабаровский край,40.58426877
2020-09-01,Челябинская область,54.07616585
2020-09-01,Чеченская Республика,67.09012302
2020-09-01,Чувашская Республика,46.65497116
2020-09-01,Чукотский АО,50.05428427
2020-09-01,Ярославская область,48.2261002
2020-10-01,Россия,37.26039201
2020-10-01,Адыгея,45.02926789
2020-10-01,Алтай,40.49692851
2020-10-01,Алтайский край,41.10501605
2020-10-01,Амурская область,39.77390833
2020-10-01,Архангельская область,45.01812768
2020-10-01,Астраханская область,46.07496552
2020-10-01,Белгородская область,43.11945088
2020-10-01,Брянская область,53.62893308
2020-10-01,Владимирская область,51.90684844
2020-10-01,Волгоградская область,46.7133466
2020-10-01,Вологодская область,49.60630048
2020-10-01,Воронежская область,46.1498278
2020-10-01,Еврейская автономная область,58.77642118
2020-10-01,Забайкальский край,39.89124806
2020-10-01,Ивановская область,49.48012375
2020-10-01,Иркутская область,42.7472127
2020-10-01,Кабардино-Балкарская Республика,53.09398901
2020-10-01,Калининградская область,41.95643608
2020-10-01,Калужская область,44.99345661
2020-10-01,Камчатский край,57.90514187
2020-10-01,Кемеровская область,51.95678908
2020-10-01,Кировская область,45.30696997
2020-10-01,Костромская область,41.22694917
2020-10-01,Краснодарский край,35.61967424
2020-10-01,Красноярский край,47.67412646
2020-10-01,Курганская область,50.32130921
2020-10-01,Курская область,47.79862741
2020-10-01,Ленинградская область,35.13232058
2020-10-01,Липецкая область,48.55885337
2020-10-01,Магаданская область,84.43279647
2020-10-01,Мордовия,49.13442108
2020-10-01,Москва,23.11450294
2020-10-01,Московская область,32.82616621
2020-10-01,Мурманская область,69.08508116
2020-10-01,Нижегородская область,36.41651206
2020-10-01,Новгородская область,50.5464225
2020-10-01,Новосибирская область,35.54707377
2020-10-01,Омская область,44.96011592
2020-10-01,Оренбургская область,51.40015667
2020-10-01,Орловская область,47.78419046
2020-10-01,Пензенская область,44.3936119
2020-10-01,Пермский край,42.42326464
2020-10-01,Приморский край,30.8631567
2020-10-01,Псковская область,52.29356708
2020-10-01,Республика Башкортостан,40.93950996
2020-10-01,Республика Бурятия,43.43175188
2020-10-01,Республика Дагестан,49.46980252
2020-10-01,Республика Ингушетия,70.72475232
2020-10-01,Республика Калмыкия,57.70867541
2020-10-01,Республика Карачаево-Черкессия,48.1661517
2020-10-01,Республика Карелия,48.70572672
2020-10-01,Республика Коми,55.75270028
2020-10-01,Республика Марий Эл,52.19803792
2020-10-01,Республика Саха (Якутия),39.68813523
2020-10-01,Республика Северная Осетия-Алания,55.19290521
2020-10-01,Республика Татарстан,34.5410215
2020-10-01,Республика Тыва,30.43449247
2020-10-01,Республика Хакасия,50.43245179
2020-10-01,Ростовская область,42.61066526
2020-10-01,Рязанская область,47.13038464
2020-10-01,Самарская область,45.69661209
2020-10-01,Санкт-Петербург,27.9942266
2020-10-01,Саратовская область,54.17524811
2020-10-01,Сахалинская область,33.75909192
2020-10-01,Свердловская область,38.83411559
2020-10-01,Смоленская область,52.56844442
2020-10-01,Ставропольский край,45.32386219
2020-10-01,Тамбовская область,46.05694614
2020-10-01,Тверская область,46.03603891
2020-10-01,Томская область,42.10257217
2020-10-01,Тульская область,42.62754081
2020-10-01,Тюменская область,40.51979624
2020-10-01,Удмуртская Республика,42.43048198
2020-10-01,Ульяновская область,49.2585079
2020-10-01,Хабаровский край,40.26258533
2020-10-01,Челябинская область,53.18445232
2020-10-01,Чеченская Республика,71.72516537
2020-10-01,Чувашская Республика,46.844823
2020-10-01,Чукотский АО,51.90318355
2020-10-01,Ярославская область,47.39169355
